,시군명,식당,식당_영문명,최후의음식,위도,경도
2897,화성시,샤브샤브 린,syabeusyabeu lin,0,37.126589,126.8347733
2898,화성시,나담샤브,nadamsyabeu,갈비구이,37.1148972,126.912793
2899,화성시,비단,bidan,갈비구이,37.2009947,126.8268588
2900,화성시,송도갈매기동탄점,songdogalmaegidongtanjeom,막국수,37.2130263,127.0536683
2901,화성시,도쿄하나 동탄점,dokyohana dongtanjeom,매운탕,37.2130263,127.0536683
2902,화성시,엄니토종추어탕,eomnitojongchueotang,추어탕,37.2124663,126.815972
2903,화성시,유장춘닭개장,yujangchundalg-gaejang,0,37.1953028,126.9813467
2904,화성시,정마루,jeongmalu,갈비구이,37.1341439,126.9413444
2905,화성시,경복궁동탄점(주)덕용푸드시스템,gyeongboggungdongtanjeom(ju)deog-yongpudeusiseutem,제육볶음,37.1989956,127.0571732
2906,화성시,삿뽀로동탄점(주)덕용푸드시스템,sasppolodongtanjeom(ju)deog-yongpudeusiseutem,0,37.1989956,127.0571732
2907,화성시,일식담,ilsigdam,매운탕,37.2027175,127.0731374
2908,화성시,백두산,baegdusan,갈비구이,37.1658872,126.7075632
2909,화성시,홍천덤바우록계탕,hongcheondeombauloggyetang,삼계탕,37.2062671,126.8277703
2910,화성시,대보유통(주)화성(하)휴게소(양식당),daeboyutong(ju)hwaseong(ha)hyugeso(yangsigdang),제육볶음,37.1428897,126.8793312
2911,화성시,소담뜰,ilmidalg-galbi,갈비구이,37.132751,126.9064359
2912,화성시,담쟁이 횟집,damjaeng-i hoesjib,0,37.1881886,126.8193542
2913,화성시,대게나라동탄점,daegenaladongtanjeom,0,37.2021048,127.0731368
2914,화성시,왕골남서문곰탕,wang-golnamseomungomtang,곰탕_설렁탕,37.1955281,126.9815606
2915,화성시,곤드레밥집,gondeulebabjib,0,37.1992725,127.062197
2916,화성시,망향비빔국수,manghyangbibimgugsu,0,37.2265185,127.0649452
2917,화성시,청킹,cheongking,"짜장면, 짬뽕",37.1831893,127.0774999
2918,화성시,동해복집,donghaebogjib,0,37.2181314,127.0778273
2919,화성시,성동관,seongdong-gwan,"짜장면, 짬뽕",37.2247467,127.0750282
2920,화성시,신창기업(주)발리오스컨트리클럽,sinchang-gieob(ju)ballioseukeonteulikeulleob,제육볶음,37.1091953,126.8672468
